Date,Open,High,Low,Close,Volume,Adj Close*,Log returns,Daily returns
5-Mar-08,12204.9,12349.7,12140.5,12255,3045700,12255,0.001462511,0.003373234
6-Mar-08,12254.6,12254.6,12026.1,12040.4,2831000,12040.4,-0.007672401,-0.01751122
7-Mar-08,12039.1,12094.2,11819.7,11893.7,3075800,11893.7,-0.005323935,-0.012183981
10-Mar-08,11893,11926.5,11731.6,11740.2,3120200,11740.2,-0.005641485,-0.012905992
11-Mar-08,11741.3,12160.8,11741,12156.8,3723300,12156.8,0.015143776,0.035484915
12-Mar-08,12148.6,12303.4,12092.3,12110.2,2881300,12110.2,-0.001667956,-0.003833246
13-Mar-08,12096.5,12215.4,11875.8,12145.7,3362600,12145.7,0.001271234,0.002931413
14-Mar-08,12146.4,12193.6,11832.7,11951.1,3808100,11951.1,-0.007014669,-0.016022131
17-Mar-08,11946.5,12076.2,11756.6,11972.3,3828900,11972.3,0.00076971,0.001773895
18-Mar-08,11975.9,12392.7,11975.8,12392.7,3677800,12392.7,0.014988346,0.035114389
19-Mar-08,12391.5,12461.5,12095.1,12099.7,3284600,12099.7,-0.010391334,-0.023642951
20-Mar-08,12102.4,12378.7,12097.9,12361.3,5026500,12361.3,0.009289544,0.021620371
24-Mar-08,12362,12622.1,12362,12548.6,2643200,12548.6,0.006531129,0.015152128
25-Mar-08,12547.3,12571.8,12449.1,12532.6,2376500,12532.6,-0.000554097,-0.001275043
26-Mar-08,12531.8,12532,12376.7,12422.9,2350200,12422.9,-0.003818189,-0.008753172
27-Mar-08,12421.9,12476.8,12293.3,12302.5,2353900,12302.5,-0.004229616,-0.009691779
28-Mar-08,12303.9,12382.2,12196.9,12216.4,2090000,12216.4,-0.003050129,-0.006998578
31-Mar-08,12215.9,12326.5,12176.1,12262.9,2736100,12262.9,0.001649942,0.003806359
1-Apr-08,12266.6,12659.8,12266.5,12654.4,2955300,12654.4,0.013648371,0.031925564
2-Apr-08,12651.7,12696.3,12555.2,12608.9,2327600,12608.9,-0.001564358,-0.003595587
3-Apr-08,12605.8,12675.1,12527.8,12626,1838700,12626,0.000588585,0.001356185
4-Apr-08,12626,12688.5,12528.2,12609.4,1812600,12609.4,-0.000571363,-0.001314747
7-Apr-08,12612.6,12733.7,12583.3,12612.4,1980700,12612.4,0.000103314,0.000237918
8-Apr-08,12602.7,12607.3,12525.8,12576.4,1972000,12576.4,-0.001241394,-0.002854334
9-Apr-08,12574.7,12621.6,12469,12527.3,1949500,12527.3,-0.001698864,-0.003904138
10-Apr-08,12526.8,12649.3,12497.2,12582,2273300,12582,0.001892203,0.004366464
11-Apr-08,12579.8,12580.3,12302.1,12325.4,2868500,12325.4,-0.008948658,-0.020394214
14-Apr-08,12324.8,12367.6,12280.4,12302.1,2160100,12302.1,-0.00082177,-0.001890405
15-Apr-08,12302.1,12387.8,12269.8,12362.5,2089500,12362.5,0.002127052,0.004909731
16-Apr-08,12371.5,12625.8,12371.5,12619.3,2694900,12619.3,0.00892896,0.020772497
17-Apr-08,12617.4,12656.6,12563.3,12620.5,2170000,12620.5,4.12962E-05,9.50924E-05
18-Apr-08,12626.8,12894,12626.8,12849.4,3040300,12849.4,0.007806288,0.018137158
21-Apr-08,12850.9,12850.9,12751.2,12825,1924000,12825,-0.000825475,-0.001898921
22-Apr-08,12825,12825.3,12656.6,12720.2,2149500,12720.2,-0.003563434,-0.00817154
23-Apr-08,12721.5,12837.4,12703.1,12763.2,2441200,12763.2,0.001465635,0.00338045
24-Apr-08,12764.7,12942.3,12706.6,12849,2499200,12849,0.002909754,0.006722452
25-Apr-08,12848.4,12909.2,12742.8,12891.9,2407600,12891.9,0.001447599,0.003338781
28-Apr-08,12890.8,12938.8,12857.5,12871.8,2223000,12871.8,-0.000677645,-0.001559119
29-Apr-08,12870.4,12889.8,12804.7,12831.9,2180200,12831.9,-0.001348317,-0.0030998
30-Apr-08,12831.5,13010,12809,12820.1,2550700,12820.1,-0.000399554,-0.000919583
1-May-08,12818.3,13029.1,12793.1,13010,2454800,13010,0.006385884,0.014812677
2-May-08,13012.5,13132.5,12981.8,13058.2,2054100,13058.2,0.001606019,0.003704842
5-May-08,13056.6,13058.5,12939.7,12969.5,1978100,12969.5,-0.002960083,-0.006792667
6-May-08,12968.9,13046.2,12863.2,13020.8,1993700,13020.8,0.001714435,0.003955434
7-May-08,13010.8,13036.7,12796.2,12814.4,2350000,12814.4,-0.006939392,-0.015851561
8-May-08,12814.4,12909.9,12794.8,12866.8,1955700,12866.8,0.001772274,0.00408915
9-May-08,12860.7,12861.4,12715,12745.9,1802400,12745.9,-0.004100044,-0.009396276
12-May-08,12745.6,12904.2,12740.5,12876.3,1981100,12876.3,0.00442058,0.010230741
13-May-08,12872.1,12891.4,12781,12832.2,2367100,12832.2,-0.001489967,-0.003424897
14-May-08,12825.1,12993.2,12825.1,12898.4,2068200,12898.4,0.002234721,0.005158897
15-May-08,12891.3,12999.5,12855,12992.7,2177800,12992.7,0.00316357,0.007310984
16-May-08,12992.7,13001.9,12893.5,12986.8,2492600,12986.8,-0.000197258,-0.000454101
19-May-08,12985.4,13136.7,12963.8,13028.2,1937700,13028.2,0.001382265,0.003187852
20-May-08,13026,13026,12781.8,12828.7,2652200,12828.7,-0.006701768,-0.015312937
21-May-08,12824.9,12862.5,12573.7,12601.2,2658100,12601.2,-0.007770745,-0.017733675
22-May-08,12597.7,12669.3,12591.3,12625.6,2163600,12625.6,0.000840122,0.001936324
23-May-08,12620.9,12622,12460.1,12479.6,1902100,12479.6,-0.005051361,-0.011563807
27-May-08,12479.6,12572.5,12442.6,12548.4,2015300,12548.4,0.002387689,0.005512997
28-May-08,12542.9,12601.9,12495.3,12594,2136800,12594,0.001575335,0.003633929
29-May-08,12593.9,12726.7,12554.7,12646.2,2064200,12646.2,0.001796357,0.004144831
30-May-08,12647.4,12689.7,12617.4,12638.3,2102300,12638.3,-0.000271386,-0.000624694
2-Jun-08,12637.7,12638.1,12427.8,12503.8,1990900,12503.8,-0.004646642,-0.010642254
3-Jun-08,12503.2,12554.1,12342.1,12402.9,2274600,12402.9,-0.003518776,-0.008069547
4-Jun-08,12391.9,12496.2,12338.8,12390.5,2385900,12390.5,-0.00043441,-0.000999766
5-Jun-08,12388.8,12611,12388.8,12604.5,2361600,12604.5,0.007436791,0.017271297
6-Jun-08,12602.7,12603.1,12192.1,12209.8,3078200,12209.8,-0.013817072,-0.031314213
9-Jun-08,12210.1,12331.9,12195.3,12280.3,2663500,12280.3,0.002500426,0.00577405
10-Jun-08,12277.7,12369.2,12207,12289.8,2407600,12289.8,0.000335839,0.000773597
11-Jun-08,12286.3,12286.7,12079.1,12083.8,2471200,12083.8,-0.007341287,-0.016761868
